Row Labels,Sum of UNIT_PRICE_GBP
E004015069D286EC,179.09
E004015069D286F2,33.81
E004015069D286F4,70.98
E004015069D286F5,75.77
E004015069D286F7,198.84
E004015069D2893C,59.63
E004015069D28A04,4.25
E004015069D28A63,36.74
E004015069D28A66,252.84
E004015069D28A6C,316.97
E004015069D28A6E,61.17
E004015069D28A6F,29.48
E004015069D28B18,50.17
E004015069D28B7E,58.21
E004015069D28B80,53.19
E004015069D28B81,101.32
E004015069D28B89,40.53
E004015069D28B8B,20.44
E004015069D28B8C,9.56
E004015069D28C96,82.11
E004015069D28C99,121.72
E004015069D28DB3,228.48
E004015069D28DB5,43.02
E004015069D28EDE,66.13
E004015069D28EE4,95.04
E004015069D29019,32.64
E004015069D29137,30.77
E004015069D2926E,69.48
E004015069D293AF,4.25
E004015069D293BA,87.16
E004015069D294ED,44.23
